polygonID,UniqueID,GIS_Ac,year,jan_a,jan_b,feb_a,feb_b,mar_a,mar_b,apr_a,aug_b,sep_a,sep_b,oct_a,oct_b
548,tnc50,13.7401362632,2015,1,1,0,0,0,0,0,0,0,0,0,0
549,tnc51,15.3285549759,2015,1,1,0,0,0,0,0,0,0,0,0,0
550,tnc52,17.8086562985,2015,1,1,0,0,0,0,0,0,0,0,0,0
571,pl453,29.9020313605,2015,1,1,0,0,0,0,0,0,0,0,0,0
572,pl450,50.1977773749,2015,1,1,0,0,0,0,0,0,0,0,0,0
927,pl713,34.7055588943,2015,1,1,0,0,0,0,0,0,0,0,0,0
928,pl714,34.8091066817,2015,1,1,0,0,0,0,0,0,0,0,0,0
12,su911,95.2733872166,2015,0,0,1,1,0,0,0,0,0,0,0,0
18,yu337,151.881971747,2015,0,0,1,0,0,0,0,0,0,0,0,0
20,co4682,12.5724780129,2015,0,0,1,1,1,0,0,0,0,0,0,0
23,co4681,32.5466820474,2015,0,0,1,1,1,0,0,0,0,0,0,0
27,pl12,16.1715434246,2015,0,0,1,1,1,0,0,0,0,0,0,0
41,tnc3,79.2081940804,2015,0,0,1,1,0,0,0,0,0,0,0,0
80,co1802,101.293688649,2015,0,0,1,1,1,0,0,0,0,0,0,0
85,yo5460,225.220071732,2015,0,0,1,1,1,0,0,0,0,0,0,0
114,tnc5,121.471550666,2015,0,0,1,0,0,0,0,0,0,0,0,0
115,tnc6,33.071554801,2015,0,0,1,0,0,0,0,0,0,0,0,0
210,yo2868,260.565461422,2015,0,0,1,0,0,0,0,0,0,0,0,0
257,tnc122,35.9784345121,2015,0,0,1,1,1,1,0,0,0,0,0,0
261,co1804,161.116477269,2015,0,0,1,1,0,0,0,0,0,0,0,0
301,pl6,15.2739408264,2015,0,0,1,1,1,0,0,0,0,0,0,0
302,pl8,10.7915630004,2015,0,0,1,1,1,0,0,0,0,0,0,0
303,pl9,10.6090642396,2015,0,0,1,1,1,0,0,0,0,0,0,0
304,pl10,12.5206520657,2015,0,0,1,1,1,0,0,0,0,0,0,0
305,pl11,10.9609772401,2015,0,0,1,1,1,0,0,0,0,0,0,0
306,pl5,12.6173798411,2015,0,0,1,1,1,0,0,0,0,0,0,0
307,pl7,10.6459740756,2015,0,0,1,1,1,0,0,0,0,0,0,0
370,co1798,120.088478674,2015,0,0,1,1,1,0,0,0,0,0,0,0
371,co1799,115.582690134,2015,0,0,1,1,1,0,0,0,0,0,0,0
372,co1800,117.600485168,2015,0,0,1,1,1,0,0,0,0,0,0,0
373,co1801,115.29671196,2015,0,0,1,1,1,0,0,0,0,0,0,0
374,co1803,80.3287912443,2015,0,0,1,1,1,0,0,0,0,0,0,0
388,tnc29,20.9642100566,2015,0,0,1,1,0,0,0,0,0,0,0,0
389,tnc30,12.1577105398,2015,0,0,1,1,0,0,0,0,0,0,0,0
430,tnc34,12.7298406529,2015,0,0,1,1,0,0,0,0,0,0,0,0
431,tnc35,4.83704063957,2015,0,0,1,1,0,0,0,0,0,0,0,0
432,tnc36,6.24850119348,2015,0,0,1,1,0,0,0,0,0,0,0,0
433,tnc37,4.09651197737,2015,0,0,1,1,0,0,0,0,0,0,0,0
440,yo2867,135.019538457,2015,0,0,1,0,0,0,0,0,0,0,0,0
441,yo2866,128.311717261,2015,0,0,1,0,0,0,0,0,0,0,0,0
483,tnc123,4.40514861676,2015,0,0,1,1,1,0,0,0,0,0,0,0
484,tnc124,22.1909514673,2015,0,0,1,1,1,0,0,0,0,0,0,0
485,tnc125,7.78189140741,2015,0,0,1,1,1,1,0,0,0,0,0,0
503,su1912,118.301604941,2015,0,0,1,1,1,0,0,0,0,0,0,0
504,su1909,132.287113559,2015,0,0,1,1,1,0,0,0,0,0,0,0
530,yo5459,149.966445523,2015,0,0,1,1,1,0,0,0,0,0,0,0
642,su1911,80.7043947949,2015,0,0,1,1,1,0,0,0,0,0,0,0
643,su1910,123.600553627,2015,0,0,1,1,1,0,0,0,0,0,0,0
644,su1908,132.0314677,2015,0,0,1,1,1,0,0,0,0,0,0,0
758,tnc146,146.222317326,2015,0,0,1,1,0,0,0,0,0,0,0,0
759,tnc147,149.300940668,2015,0,0,1,1,0,0,0,0,0,0,0,0
760,yo5578,131.4981242,2015,0,0,1,1,0,0,0,0,0,0,0,0
761,tnc144,155.140713859,2015,0,0,1,1,0,0,0,0,0,0,0,0
762,tnc145,150.258197942,2015,0,0,1,1,0,0,0,0,0,0,0,0
763,yo5577,66.860273864,2015,0,0,1,1,0,0,0,0,0,0,0,0
819,co4667,20.7699279735,2015,0,0,1,1,1,0,0,0,0,0,0,0
820,co4668,21.9441741043,2015,0,0,1,1,1,0,0,0,0,0,0,0
821,co4669,22.0667204167,2015,0,0,1,1,1,0,0,0,0,0,0,0
822,co4672,23.4684173958,2015,0,0,1,1,1,0,0,0,0,0,0,0
823,co4670,24.8441573582,2015,0,0,1,1,1,0,0,0,0,0,0,0
824,co4671,24.7078762245,2015,0,0,1,1,1,0,0,0,0,0,0,0
825,co4673,20.2557702893,2015,0,0,1,1,1,0,0,0,0,0,0,0
826,co4680,33.2527471178,2015,0,0,1,1,1,0,0,0,0,0,0,0
827,co4674,15.9438647599,2015,0,0,1,1,1,0,0,0,0,0,0,0
9,su642,41.2545982928,2015,0,0,0,0,0,0,0,0,1,0,0,0
31,co575,122.765533515,2015,0,0,0,0,0,0,0,0,0,0,0,1
65,su3297,72.3224182852,2015,0,0,0,0,0,0,0,0,1,0,0,0
66,su3296,116.45195462,2015,0,0,0,0,0,0,0,0,1,0,0,0
86,su3428,159.151838341,2015,0,0,0,0,0,0,0,0,0,1,0,0
87,su3429,140.346714123,2015,0,0,0,0,0,0,0,0,0,1,0,0
89,su3427,162.836986175,2015,0,0,0,0,0,0,0,0,0,1,0,0
90,su3419,109.95213978,2015,0,0,0,0,0,0,0,0,0,0,1,0
92,su3422,103.620250519,2015,0,0,0,0,0,0,0,0,0,0,1,0
97,bu3003,173.470524747,2015,0,0,0,0,0,0,0,0,0,0,0,1
98,bu1278,172.740577492,2015,0,0,0,0,0,0,0,0,0,0,0,1
99,bu3385,116.791304897,2015,0,0,0,0,0,0,0,0,0,0,0,1
100,bu3380,71.8948691856,2015,0,0,0,0,0,0,0,0,0,0,0,1
101,bu3382,92.8925830211,2015,0,0,0,0,0,0,0,0,0,0,1,0
102,bu5781,135.189433986,2015,0,0,0,0,0,0,0,0,0,0,1,0
103,bu5780,105.888874041,2015,0,0,0,0,0,0,0,0,0,0,0,1
104,bu5123,149.409148591,2015,0,0,0,0,0,0,0,0,0,0,1,0
108,co5348,29.9774772356,2015,0,0,0,0,0,0,0,0,0,0,1,0
109,co2478,59.4512290926,2015,0,0,0,0,0,0,0,0,0,0,1,0
110,co966,87.217368092,2015,0,0,0,0,0,0,0,0,0,0,1,0
113,co185,51.5580889985,2015,0,0,0,0,0,0,0,0,0,0,1,0
137,yu2804,105.656518356,2015,0,0,0,0,0,0,0,0,0,1,0,0
139,yu2008,53.6441363563,2015,0,0,0,0,0,0,0,0,0,0,1,0
144,yu2004,54.8771526798,2015,0,0,0,0,0,0,0,0,0,0,1,0
145,yu2007,43.2466548077,2015,0,0,0,0,0,0,0,0,0,0,1,0
148,yu2001,40.4595689081,2015,0,0,0,0,0,0,0,0,0,0,1,0
149,yu2472,51.9801878859,2015,0,0,0,0,0,0,0,0,0,1,0,0
152,yu2469,75.1428047258,2015,0,0,0,0,0,0,0,0,0,1,0,0
153,yu2464,70.7327629713,2015,0,0,0,0,0,0,0,0,0,1,0,0
154,yu894,21.0832391668,2015,0,0,0,0,0,0,0,0,0,1,0,0
157,yu2420,24.2151626877,2015,0,0,0,0,0,0,0,0,0,0,1,0
158,yu2413,34.4083009237,2015,0,0,0,0,0,0,0,0,0,0,1,0
159,yu2410,23.5303845391,2015,0,0,0,0,0,0,0,0,0,0,1,0
162,yu2418,45.1008742092,2015,0,0,0,0,0,0,0,0,0,0,1,0
168,yu1668,90.472257735,2015,0,0,0,0,0,0,0,0,0,0,1,0
169,yu1669,106.568066734,2015,0,0,0,0,0,0,0,0,0,0,1,0
210,yo2868,260.565461422,2015,0,0,0,0,0,0,0,0,0,0,1,0
220,yo3036,162.654422808,2015,0,0,0,0,0,0,0,0,0,0,1,0
229,pl716,39.4669439354,2015,0,0,0,0,0,0,0,0,0,0,0,1
230,pl710,147.162690227,2015,0,0,0,0,0,0,0,0,0,0,0,1
231,pl451,74.1222285465,2015,0,0,0,0,0,0,0,0,0,0,0,1
254,co2270,271.721483097,2015,0,0,0,0,0,0,0,0,1,0,0,0
292,co2312,381.924729439,2015,0,0,0,0,0,0,0,0,0,0,0,1
300,su3426,151.409954263,2015,0,0,0,0,0,0,0,0,0,1,0,0
314,yu2940,24.5320476553,2015,0,0,0,0,0,0,0,0,0,0,1,0
330,yu2473,36.0432717928,2015,0,0,0,0,0,0,0,0,0,1,0,0
331,yu2006,39.6772414246,2015,0,0,0,0,0,0,0,0,0,0,1,0
340,co186,17.9401350764,2015,0,0,0,0,0,0,0,0,0,0,1,0
411,co574,84.3348723333,2015,0,0,0,0,0,0,0,0,0,0,0,1
423,yo4639,410.833938403,2015,0,0,0,0,0,0,0,1,0,0,0,0
440,yo2867,135.019538457,2015,0,0,0,0,0,0,0,0,0,0,1,0
441,yo2866,128.311717261,2015,0,0,0,0,0,0,0,0,0,0,1,0
442,yo3038,153.28633418,2015,0,0,0,0,0,0,0,0,0,0,1,0
469,bu3387,90.242206517,2015,0,0,0,0,0,0,0,0,0,0,1,0
470,bu3386,89.5373390029,2015,0,0,0,0,0,0,0,0,0,0,0,1
471,bu3384,44.5814563573,2015,0,0,0,0,0,0,0,0,0,0,0,1
472,bu3378,69.7175523269,2015,0,0,0,0,0,0,0,0,0,0,0,1
473,bu3379,45.870798543,2015,0,0,0,0,0,0,0,0,0,0,0,1
474,bu3383,54.4715785416,2015,0,0,0,0,0,0,0,0,0,0,0,1
475,bu3381,67.1480767555,2015,0,0,0,0,0,0,0,0,0,0,0,1
476,bu2301,33.3808967339,2015,0,0,0,0,0,0,0,0,0,0,1,0
477,bu1275,103.669691686,2015,0,0,0,0,0,0,0,0,0,0,0,1
486,co4600,18.094969753,2015,0,0,0,0,0,0,0,0,0,0,0,1
487,co4602,12.3258383335,2015,0,0,0,0,0,0,0,0,0,0,0,1
488,co4601,13.0531408018,2015,0,0,0,0,0,0,0,0,0,0,0,1
489,co4603,27.3097041474,2015,0,0,0,0,0,0,0,0,0,0,0,1
490,co4604,27.760148704,2015,0,0,0,0,0,0,0,0,0,0,0,1
491,co4605,27.0435278313,2015,0,0,0,0,0,0,0,0,0,0,0,1
492,co4606,18.3966186565,2015,0,0,0,0,0,0,0,0,0,0,0,1
493,co5788,28.3975955511,2015,0,0,0,0,0,0,0,0,0,0,0,1
494,co5786,34.6673445703,2015,0,0,0,0,0,0,0,0,0,0,0,1
504,su1909,132.287113559,2015,0,0,0,0,0,0,0,1,0,0,0,0
571,pl453,29.9020313605,2015,0,0,0,0,0,0,0,0,0,0,0,1
643,su1910,123.600553627,2015,0,0,0,0,0,0,0,1,0,0,0,0
644,su1908,132.0314677,2015,0,0,0,0,0,0,0,1,0,0,0,0
928,pl714,34.8091066817,2015,0,0,0,0,0,0,0,0,0,0,0,1
956,su3420,24.7889826687,2015,0,0,0,0,0,0,0,0,0,0,1,0
957,su3421,27.2443126773,2015,0,0,0,0,0,0,0,0,0,0,1,0
958,su3424,31.7054380876,2015,0,0,0,0,0,0,0,0,0,0,1,0
3,bu1648,140.392488077,2016,0,0,1,1,0,0,0,0,0,0,0,0
4,bu2458,131.980514788,2016,0,0,1,1,0,0,0,0,0,0,0,0
5,bu894,106.810386732,2016,0,0,1,1,0,0,0,0,0,0,0,0
27,pl12,16.1715434246,2016,0,0,1,1,1,0,0,0,0,0,0,0
28,co580,134.950083421,2016,0,0,1,1,1,0,0,0,0,0,0,0
29,co577,141.75137325,2016,0,0,1,1,1,0,0,0,0,0,0,0
31,co575,122.765533515,2016,0,0,1,1,1,0,0,0,0,0,0,0
39,tnc1,23.7710727641,2016,0,0,1,1,1,1,0,0,0,0,0,0
40,tnc2,23.708902743,2016,0,0,1,1,1,1,0,0,0,0,0,0
41,tnc3,79.2081940804,2016,0,0,1,1,1,1,0,0,0,0,0,0
55,yo5457,218.994127743,2016,0,0,1,1,1,0,0,0,0,0,0,0
57,yo5456,262.766600171,2016,0,0,1,1,1,0,0,0,0,0,0,0
59,yo5462,260.057206569,2016,0,0,1,1,1,0,0,0,0,0,0,0
60,yo5461,224.435496738,2016,0,0,1,1,1,0,0,0,0,0,0,0
71,su939,18.0202796558,2016,0,0,1,1,1,0,0,0,0,0,0,0
72,su935,155.38634728,2016,0,0,1,1,1,0,0,0,0,0,0,0
73,su936,56.4546453145,2016,0,0,1,1,1,0,0,0,0,0,0,0
74,su921,79.9272698359,2016,0,0,1,1,1,0,0,0,0,0,0,0
124,pl663,32.336906604,2016,0,0,1,1,1,1,1,0,0,0,0,0
130,co6618,90.255815881,2016,0,0,1,1,1,1,0,0,0,0,0,0
131,co6673,106.096079018,2016,0,0,1,1,1,1,0,0,0,0,0,0
164,yu1670,108.402656719,2016,0,0,1,1,1,0,0,0,0,0,0,0
179,bu6804,152.978754955,2016,0,0,1,1,1,0,0,0,0,0,0,0
188,su1320,146.12627056,2016,0,0,1,1,1,0,0,0,0,0,0,0
267,yo3463,153.38046377,2016,0,0,1,1,1,0,0,0,0,0,0,0
268,yo3442,123.735095366,2016,0,0,1,1,1,0,0,0,0,0,0,0
274,co4396,300.562043697,2016,0,0,1,1,1,1,0,0,0,0,0,0
279,gl6932,49.4692842933,2016,0,0,1,1,1,1,0,0,0,0,0,0
280,gl6926,26.1302350407,2016,0,0,1,1,1,1,0,0,0,0,0,0
301,pl6,15.2739408264,2016,0,0,1,1,1,0,0,0,0,0,0,0
302,pl8,10.7915630004,2016,0,0,1,1,1,0,0,0,0,0,0,0
303,pl9,10.6090642396,2016,0,0,1,1,1,0,0,0,0,0,0,0
304,pl10,12.5206520657,2016,0,0,1,1,1,0,0,0,0,0,0,0
305,pl11,10.9609772401,2016,0,0,1,1,1,0,0,0,0,0,0,0
306,pl5,12.6173798411,2016,0,0,1,1,1,0,0,0,0,0,0,0
307,pl7,10.6459740756,2016,0,0,1,1,1,0,0,0,0,0,0,0
309,yu1680,80.6853909098,2016,0,0,1,1,1,0,0,0,0,0,0,0
360,yo3449,199.438346239,2016,0,0,1,1,1,0,0,0,0,0,0,0
361,yo3448,197.650602725,2016,0,0,1,1,1,0,0,0,0,0,0,0
362,yo3447,412.235835066,2016,0,0,1,1,1,0,0,0,0,0,0,0
363,yo3453,29.3990320086,2016,0,0,1,1,1,0,0,0,0,0,0,0
364,yo3454,175.223716119,2016,0,0,1,1,1,0,0,0,0,0,0,0
365,yo3455,167.312383881,2016,0,0,1,1,1,0,0,0,0,0,0,0
366,yo3464,127.529600424,2016,0,0,1,1,1,0,0,0,0,0,0,0
384,tnc25,9.81315716484,2016,0,0,1,1,1,1,0,0,0,0,0,0
385,tnc26,18.3461723302,2016,0,0,1,1,1,1,0,0,0,0,0,0
386,tnc27,32.4709970023,2016,0,0,1,1,1,1,0,0,0,0,0,0
387,tnc28,30.957426371,2016,0,0,1,1,1,1,0,0,0,0,0,0
388,tnc29,20.9642100566,2016,0,0,1,1,1,1,0,0,0,0,0,0
389,tnc30,12.1577105398,2016,0,0,1,1,1,1,0,0,0,0,0,0
390,tnc31,36.4265679745,2016,0,0,1,1,1,1,0,0,0,0,0,0
428,tnc32,31.7201570415,2016,0,0,1,1,1,1,0,0,0,0,0,0
429,tnc33,4.70455113374,2016,0,0,1,1,1,1,0,0,0,0,0,0
430,tnc34,12.7298406529,2016,0,0,1,1,1,1,0,0,0,0,0,0
431,tnc35,4.83704063957,2016,0,0,1,1,1,1,0,0,0,0,0,0
432,tnc36,6.24850119348,2016,0,0,1,1,1,1,0,0,0,0,0,0
433,tnc37,4.09651197737,2016,0,0,1,1,1,1,0,0,0,0,0,0
434,tnc38,20.2722102366,2016,0,0,1,1,1,1,0,0,0,0,0,0
435,tnc39,20.5078650976,2016,0,0,1,1,1,1,0,0,0,0,0,0
436,tnc40,10.0132768634,2016,0,0,1,1,1,1,0,0,0,0,0,0
437,tnc41,19.8137326358,2016,0,0,1,1,1,1,0,0,0,0,0,0
438,tnc42,9.09343238719,2016,0,0,1,1,1,1,0,0,0,0,0,0
439,tnc43,16.8736649377,2016,0,0,1,1,1,1,0,0,0,0,0,0
521,tnc45,16.4810304534,2016,0,0,1,1,1,1,0,0,0,0,0,0
522,tnc46,6.1140686323,2016,0,0,1,1,1,1,0,0,0,0,0,0
528,co581,174.803776391,2016,0,0,1,1,1,0,0,0,0,0,0,0
672,bu1934,268.761377497,2016,0,0,1,1,0,0,0,0,0,0,0,0
673,yo3934,173.003871651,2016,0,0,1,1,1,0,0,0,0,0,0,0
758,tnc146,146.222317326,2016,0,0,1,1,0,0,0,0,0,0,0,0
759,tnc147,149.300940668,2016,0,0,1,1,0,0,0,0,0,0,0,0
760,yo5578,131.4981242,2016,0,0,1,1,0,0,0,0,0,0,0,0
761,tnc144,155.140713859,2016,0,0,1,1,0,0,0,0,0,0,0,0
929,gl6921,51.8584474541,2016,0,0,1,1,1,1,0,0,0,0,0,0
930,gl6922,49.7918958185,2016,0,0,1,1,1,1,0,0,0,0,0,0
931,gl6923,50.3907843176,2016,0,0,1,1,1,1,0,0,0,0,0,0
932,gl8934,10.0112751024,2016,0,0,1,1,1,1,0,0,0,0,0,0
933,gl8935,10.0467028273,2016,0,0,1,1,1,1,0,0,0,0,0,0
934,gl8936,20.1058336478,2016,0,0,1,1,1,1,0,0,0,0,0,0
935,gl8937,9.958910061,2016,0,0,1,1,1,1,0,0,0,0,0,0
936,gl6924,51.269639053,2016,0,0,1,1,1,1,0,0,0,0,0,0
937,gl8841,16.0562845856,2016,0,0,1,1,1,1,0,0,0,0,0,0
938,gl8842,16.2023398766,2016,0,0,1,1,1,1,0,0,0,0,0,0
939,gl8843,16.5993161158,2016,0,0,1,1,1,1,0,0,0,0,0,0
940,gl8844,15.234624258,2016,0,0,1,1,1,1,0,0,0,0,0,0
941,gl8845,16.5742101942,2016,0,0,1,1,1,1,0,0,0,0,0,0
942,gl8846,16.3889541038,2016,0,0,1,1,1,1,0,0,0,0,0,0
943,gl8847,9.89648556577,2016,0,0,1,1,1,1,0,0,0,0,0,0
944,gl8848,9.87220418581,2016,0,0,1,1,1,1,0,0,0,0,0,0
945,gl8849,9.64122975602,2016,0,0,1,1,1,1,0,0,0,0,0,0
946,gl8850,9.69314385083,2016,0,0,1,1,1,1,0,0,0,0,0,0
947,gl8851,10.158753494700001,2016,0,0,1,1,1,1,0,0,0,0,0,0
948,gl6927,17.2230286373,2016,0,0,1,1,1,1,0,0,0,0,0,0
949,gl6928,17.2710811726,2016,0,0,1,1,1,1,0,0,0,0,0,0
950,gl6929,17.0334432737,2016,0,0,1,1,1,1,0,0,0,0,0,0
951,gl6930,15.7073340367,2016,0,0,1,1,1,1,0,0,0,0,0,0
979,gl6926,23.1243487857,2016,0,0,1,1,1,1,0,0,0,0,0,0
9,su642,41.2545982928,2016,0,0,0,0,0,0,0,0,0,0,0,0
10,su637,58.7949076155,2016,0,0,0,0,0,0,0,0,0,0,0,0
41,tnc3,79.2081940804,2016,0,0,0,0,0,0,0,0,0,0,0,0
56,yo5453,125.327026077,2016,0,0,0,0,0,0,0,0,0,0,0,0
87,su3429,140.346714123,2016,0,0,0,0,0,0,0,0,0,0,0,0
95,bu2472,57.2838626674,2016,0,0,0,0,0,0,0,0,0,0,0,0
96,bu5971,77.0005979023,2016,0,0,0,0,0,0,0,0,0,0,0,0
101,bu3382,92.8925830211,2016,0,0,0,0,0,0,0,0,0,0,0,0
104,bu5123,149.409148591,2016,0,0,0,0,0,0,0,0,0,0,0,0
153,yu2464,70.7327629713,2016,0,0,0,0,0,0,0,0,0,0,0,0
154,yu894,21.0832391668,2016,0,0,0,0,0,0,0,0,0,0,0,0
193,yo3053,109.242806573,2016,0,0,0,0,0,0,0,0,0,0,0,0
194,yo3054,178.803229886,2016,0,0,0,0,0,0,0,0,0,0,0,0
195,yo3055,211.054301601,2016,0,0,0,0,0,0,0,0,0,0,0,0
282,su954,65.4150147512,2016,0,0,0,0,0,0,0,0,0,0,0,0
283,su953,166.633482153,2016,0,0,0,0,0,0,0,0,0,0,0,0
339,tnc22,13.6363386429,2016,0,0,0,0,0,0,0,0,0,0,0,0
388,tnc29,20.9642100566,2016,0,0,0,0,0,0,0,0,0,0,0,0
389,tnc30,12.1577105398,2016,0,0,0,0,0,0,0,0,0,0,0,0
